ObjectJsonPath,ObjectGuid,ObjectName,ObjectNickname,PropertyJsonPath,Url
"$.ObjectStates[50].ContainedObjects[10].ContainedObjects[17]","757a4e","Card","Nien Nunb","$.ObjectStates[50].ContainedObjects[10].ContainedObjects[17].CustomDeck.223.FaceURL","https://steamusercontent-a.akamaihd.net/ugc/2496767915186025798/B065114D5BFBAC43A3B9FD30F50EE4CB4B9EF30B/"
"$.ObjectStates[50].ContainedObjects[10].ContainedObjects[17]","757a4e","Card","Nien Nunb","$.ObjectStates[50].ContainedObjects[10].ContainedObjects[17].CustomDeck.223.BackURL","https://steamusercontent-a.akamaihd.net/ugc/2496767915186025939/BC7A03FF0BC56E0C347444B003DDD0EEDAC9065B/"
"$.ObjectStates[51].ContainedObjects[2].ContainedObjects[14]","354037","Card","Nien Nunb","$.ObjectStates[51].ContainedObjects[2].ContainedObjects[14].CustomDeck.262.FaceURL","https://steamusercontent-a.akamaihd.net/ugc/2496767915186023003/EC02BB1664A8A5DAE6D666066A4715316122F329/"
"$.ObjectStates[51].ContainedObjects[2].ContainedObjects[14]","354037","Card","Nien Nunb","$.ObjectStates[51].ContainedObjects[2].ContainedObjects[14].CustomDeck.262.BackURL","https://steamusercontent-a.akamaihd.net/ugc/2496767915186023228/FAC04C559148860D9F2E35C22CEDF3F737BA0AD5/"
"$.ObjectStates[53].ContainedObjects[1].ContainedObjects[3].ContainedObjects[1]","e5c161","Custom_Model","Nien Nunb","$.ObjectStates[53].ContainedObjects[1].ContainedObjects[3].ContainedObjects[1].CustomMesh.MeshURL","https://steamusercontent-a.akamaihd.net/ugc/82591194029099132/056C807B114DE0023C1B8ABD28F4D5E8F0B5D76E/"
"$.ObjectStates[53].ContainedObjects[1].ContainedObjects[3].ContainedObjects[1]","e5c161","Custom_Model","Nien Nunb","$.ObjectStates[53].ContainedObjects[1].ContainedObjects[3].ContainedObjects[1].CustomMesh.DiffuseURL","https://steamusercontent-a.akamaihd.net/ugc/2496767915186049840/72B4636B5E8DCB2EAD4570312B2D6D956D215149/"
"$.ObjectStates[53].ContainedObjects[1].ContainedObjects[3].ContainedObjects[1]","e5c161","Custom_Model","Nien Nunb","$.ObjectStates[53].ContainedObjects[1].ContainedObjects[3].ContainedObjects[1].CustomMesh.ColliderURL","https://steamusercontent-a.akamaihd.net/ugc/856097073971964332/9FA07C37B1615A416F306081D9152902A9BFE9EE/"
"$.ObjectStates[55].ContainedObjects[0].ContainedObjects[44].ContainedObjects[93]","354037","Card","Nien Nunb","$.ObjectStates[55].ContainedObjects[0].ContainedObjects[44].ContainedObjects[93].CustomDeck.262.FaceURL","https://steamusercontent-a.akamaihd.net/ugc/2496767915186023003/EC02BB1664A8A5DAE6D666066A4715316122F329/"
"$.ObjectStates[55].ContainedObjects[0].ContainedObjects[44].ContainedObjects[93]","354037","Card","Nien Nunb","$.ObjectStates[55].ContainedObjects[0].ContainedObjects[44].ContainedObjects[93].CustomDeck.262.BackURL","https://steamusercontent-a.akamaihd.net/ugc/2496767915186023228/FAC04C559148860D9F2E35C22CEDF3F737BA0AD5/"
"$.ObjectStates[55].ContainedObjects[0].ContainedObjects[137].ContainedObjects[3].ContainedObjects[61]","757a4e","Card","Nien Nunb","$.ObjectStates[55].ContainedObjects[0].ContainedObjects[137].ContainedObjects[3].ContainedObjects[61].CustomDeck.223.FaceURL","https://steamusercontent-a.akamaihd.net/ugc/2496767915186025798/B065114D5BFBAC43A3B9FD30F50EE4CB4B9EF30B/"
