pilotId,sourceId,targetId,pilotName,shipId,faction,role,required,status,rank,assetId,warehouse,score,confidence,repositoryPath,reasons
"PILOT-F5731D9E2983","backdraft","backdraft","""Backdraft""","tiesffighter","firstorder","PilotCard","True","clear","1","AST-4531DE99F4B3AC0A","xwing-data","278","high","assets/source/xwing-data/images/pilots/First Order/TIE-sf Fighter/backdraft.png","pilot identity 'backdraft' in path; ship identity matched; faction identity matched; pilot context; individual xwing-data First Edition pilot card; structured xwing-data record matched skill 7, points 27, image 'pilots/First Order/TIE-sf Fighter/backdraft.png'"
"PILOT-F5731D9E2983","backdraft","backdraft","""Backdraft""","tiesffighter","firstorder","PilotCard","True","clear","2","AST-415EF0B705016B88","legacy1e","123","high","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__f791a594f4397184.jpg","pilot identity 'backdraft' in legacy context; card context; pilot context; legacy First Edition source"
"PILOT-F5731D9E2983","backdraft","backdraft","""Backdraft""","tiesffighter","firstorder","PilotBaseTokenSheet","False","clear","1","AST-D1AA5DA26869F11E","legacy1e","100","high","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__764db731223587eb.png","pilot identity 'backdraft' in legacy context; shared legacy image reference; legacy First Edition source"
"PILOT-F5731D9E2983","backdraft","backdraft","""Backdraft""","tiesffighter","firstorder","PilotBaseToken","True","missing","0","","","0","","",""
"PILOT-9508F007B8DE","backstabber-battleofyavin","backstabber","""Backstabber""","tiefighter","galacticempire","PilotCard","True","clear","1","AST-2A926ACC846F0A39","xwing-data","278","high","assets/source/xwing-data/images/pilots/Galactic Empire/TIE Fighter/backstabber.png","pilot identity 'backstabber' in path; ship identity matched; faction identity matched; pilot context; individual xwing-data First Edition pilot card; structured xwing-data record matched skill 6, points 16, image 'pilots/Galactic Empire/TIE Fighter/backstabber.png'"
"PILOT-9508F007B8DE","backstabber-battleofyavin","backstabber","""Backstabber""","tiefighter","galacticempire","PilotCard","True","clear","2","AST-50CEBF70BF7BDA86","legacy1e","123","high","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__449ff88f909ed587.jpg","pilot identity 'backstabber' in legacy context; card context; pilot context; legacy First Edition source"
"PILOT-9508F007B8DE","backstabber-battleofyavin","backstabber","""Backstabber""","tiefighter","galacticempire","PilotBaseTokenSheet","False","clear","1","AST-DEF7A8969C03F4F0","legacy1e","112","high","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__7416dd8e946ea549.png","pilot identity 'backstabber' in legacy context; ship identity matched; shared legacy image reference; legacy First Edition source"
"PILOT-9508F007B8DE","backstabber-battleofyavin","backstabber","""Backstabber""","tiefighter","galacticempire","PilotBaseToken","True","missing","0","","","0","","",""
"PILOT-371A0F61CCFE","chopper","chopper","""Chopper""","vcx100","rebelalliance","PilotCard","True","clear","1","AST-67E943D8CF5AE6E0","xwing-data","278","high","assets/source/xwing-data/images/pilots/Rebel Alliance/VCX-100/chopper.png","pilot identity 'chopper' in path; ship identity matched; faction identity matched; pilot context; individual xwing-data First Edition pilot card; structured xwing-data record matched skill 4, points 37, image 'pilots/Rebel Alliance/VCX-100/chopper.png'"
"PILOT-371A0F61CCFE","chopper","chopper","""Chopper""","vcx100","rebelalliance","PilotCard","True","clear","2","AST-4AF0A9432E56090C","legacy1e","123","high","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__83c9f6962c0da45c.jpg","pilot identity 'chopper' in legacy context; card context; pilot context; legacy First Edition source"
"PILOT-371A0F61CCFE","chopper","chopper","""Chopper""","vcx100","rebelalliance","PilotCard","True","clear","3","AST-2DF4A4C236B1FF3C","legacy1e","123","high","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__bc19be6ceb60e237.jpg","pilot identity 'chopper' in legacy context; card context; pilot context; legacy First Edition source"
"PILOT-371A0F61CCFE","chopper","chopper","""Chopper""","vcx100","rebelalliance","PilotCard","True","clear","4","AST-B5A10E1CE91F4704","legacy1e","115","high","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__5f2e03c95aba6825.png","pilot identity 'chopper' in legacy context; card context; legacy First Edition source"
"PILOT-371A0F61CCFE","chopper","chopper","""Chopper""","vcx100","rebelalliance","PilotBaseTokenSheet","False","clear","1","AST-1B67CA60C0F16693","legacy1e","112","high","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__5ecaf2bd7f8d7b76.jpg","pilot identity 'chopper' in legacy context; ship identity matched; shared legacy image reference; legacy First Edition source"
"PILOT-371A0F61CCFE","chopper","chopper","""Chopper""","vcx100","rebelalliance","PilotBaseToken","True","missing","0","","","0","","",""
"PILOT-7BE38960675C","countdown","countdown","""Countdown""","tiestriker","galacticempire","PilotCard","True","clear","1","AST-7D4136D916987683","xwing-data","278","high","assets/source/xwing-data/images/pilots/Galactic Empire/TIE Striker/countdown.png","pilot identity 'countdown' in path; ship identity matched; faction identity matched; pilot context; individual xwing-data First Edition pilot card; structured xwing-data record matched skill 5, points 20, image 'pilots/Galactic Empire/TIE Striker/countdown.png'"
"PILOT-7BE38960675C","countdown","countdown","""Countdown""","tiestriker","galacticempire","PilotCard","True","clear","2","AST-442B4BFEFC86B31C","legacy1e","123","high","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__135ac9dea35d0d1d.png","pilot identity 'countdown' in legacy context; card context; pilot context; legacy First Edition source"
"PILOT-7BE38960675C","countdown","countdown","""Countdown""","tiestriker","galacticempire","PilotBaseTokenSheet","False","clear","1","AST-2E30C7B90852E05B","legacy1e","112","high","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__47198294f94ca5ea.png","pilot identity 'countdown' in legacy context; ship identity matched; shared legacy image reference; legacy First Edition source"
"PILOT-7BE38960675C","countdown","countdown","""Countdown""","tiestriker","galacticempire","PilotBaseToken","True","missing","0","","","0","","",""
"PILOT-7F08D82863DA","darkcurse-battleofyavin","darkcurse","""Dark Curse""","tiefighter","galacticempire","PilotCard","True","clear","1","AST-9353CD393EFC6623","xwing-data","278","high","assets/source/xwing-data/images/pilots/Galactic Empire/TIE Fighter/dark-curse.png","pilot identity 'darkcurse' in path; ship identity matched; faction identity matched; pilot context; individual xwing-data First Edition pilot card; structured xwing-data record matched skill 6, points 16, image 'pilots/Galactic Empire/TIE Fighter/dark-curse.png'"
