ImageId,RepositoryPath,Width,Height,Bytes,Sha256,IsKnownSourceSheet,KnownCropCount,PriorityScore
"legacy-image-0001","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__0007b1a704707540.png",2000,2000,925614,"c9cf689ea37a880f563d058ae7779125759d3312ccb21e263c40b86aa0813dc1",True,1,1070
"legacy-image-0003","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__028ca35d37b338dc.png",1024,1024,1004896,"94430e76f30d9958f0474c8c7fb664a2ce371e544b05295d09e0b7813c08d66b",True,1,1070
"legacy-image-0004","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__029a55df7aa12763.jpg",1942,1942,554608,"d6b1ff67b063ca5946fa0e90f068add71ca6d02c359afcec92668c0cc93fd899",True,1,1070
"legacy-image-0005","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__02e20fbebf2cc778.jpg",2048,2048,349039,"fa1b86882d08b2f28345ca8341871f325622e8a602bd848da54e2b31da295b98",True,1,1070
"legacy-image-0006","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__055f87ae1f2bccdf.jpg",1536,1536,257932,"c6419f2313f749508be0f85b4f3fe9daf83f313f0bf7d6e5fef5a8d068a4a128",True,1,1070
"legacy-image-0008","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__062ebd85ad782fed.jpg",1536,1536,260905,"40d49a0fb32c6bcde0ea3dd96cbe5155a239315f339f8693620ed96502e7debc",True,1,1070
"legacy-image-0009","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__07b611202808b32f.jpg",2048,2048,641374,"c26bb7d4e034776e9e6d9350f22c68fcd8ad290942cca3c53ca956ae943629ea",True,1,1070
"legacy-image-0011","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__0d8c2cd2b70ca7d6.jpg",1024,1024,181271,"184f54cceff55e33232f30260420101f5b83e710ee50fe0d45b88bf2cb732943",True,1,1070
"legacy-image-0012","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__0e078b693215dcd2.jpg",2048,2048,349081,"2e852055cccf281b2456dc2d5dd160f46c6a8073bf6633da5b8a8447010e0392",True,1,1070
"legacy-image-0015","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__116b5f5103b89cc7.jpg",1541,1541,168808,"cb97f9be120e8b1bfb153a21c7ca9b967b46a6170c7411b4ea20df44a99dd3ca",True,1,1070
"legacy-image-0016","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__12292d3a084cbe3c.jpg",2048,2048,379353,"bc1b8e2589c99c5d3671076b3c2f629d430970364c412e667d4805f754209e97",True,1,1070
"legacy-image-0022","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__1786b38448ff15bc.jpg",1522,1522,195957,"ff847b440d9aa68c78f4be61dc6a9aa82fa21eb8dfa17e55ab4c51e121a254d5",True,1,1070
"legacy-image-0024","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__188553706626c179.png",1024,1024,372473,"ca2afedbdd5df6750ebe77bcde9a3a4a431dcd193e91e922df48c72ce4d361fa",True,1,1070
"legacy-image-0025","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__18bbda2defef0191.png",2000,2000,957655,"7810d67b19270395e2a3a947350e0b3302ad3401d68f19b374e757d49dc3e901",True,1,1070
