Path,FileName,Faction,Ship,BaseSize,Width,Height,VisibleLeft,VisibleTop,VisibleWidth,VisibleHeight,PaddingLeft,PaddingRight,PaddingTop,PaddingBottom,HorizontalCentreOffset,VerticalCentreOffset,HasAlpha,TransparentPixels,TranslucentPixels,OpaquePixels,Sha256,Warnings
assets/generated/PilotBaseToken/firstorder/tiefofighter/epsilonace__pilot-fd288ae4c7d0.png,epsilonace__pilot-fd288ae4c7d0.png,firstorder,tiefofighter,Small,431,495,0,0,431,495,0,0,0,0,0,0,False,0,0,213345,328d4b0ecf80f3aadfb2366d465c0888c40df2de9011c9154515d9110a56fa56,NoTransparency;TouchesLeftEdge;TouchesRightEdge;TouchesTopEdge;TouchesBottomEdge
assets/generated/PilotBaseToken/firstorder/tiefofighter/epsilonleader__pilot-d905ccfeb611.png,epsilonleader__pilot-d905ccfeb611.png,firstorder,tiefofighter,Small,431,495,0,0,431,495,0,0,0,0,0,0,False,0,0,213345,0d032dea0ce7424a362d40a5fd27ee7bb0cae4fa254fca372074416b184a4762,NoTransparency;TouchesLeftEdge;TouchesRightEdge;TouchesTopEdge;TouchesBottomEdge
assets/generated/PilotBaseToken/firstorder/tiefofighter/epsilonsquadronpilot__pilot-79a2c367a956.png,epsilonsquadronpilot__pilot-79a2c367a956.png,firstorder,tiefofighter,Small,431,495,0,0,431,495,0,0,0,0,0,0,False,0,0,213345,e61b670ab60de434e7b9db2b02159bf8e6b0a5e1e3006a9bd61ec50763c64c99,NoTransparency;TouchesLeftEdge;TouchesRightEdge;TouchesTopEdge;TouchesBottomEdge
assets/generated/PilotBaseToken/firstorder/tiefofighter/omegaace__pilot-6981ba3839af.png,omegaace__pilot-6981ba3839af.png,firstorder,tiefofighter,Small,431,495,0,0,431,495,0,0,0,0,0,0,False,0,0,213345,2ba3e597efced448999e1e3e47ca6a25569dfe072b2a94d5659e9667aeefbdf3,NoTransparency;TouchesLeftEdge;TouchesRightEdge;TouchesTopEdge;TouchesBottomEdge
assets/generated/PilotBaseToken/firstorder/tiefofighter/omegaleader__pilot-eece3bbbb784.png,omegaleader__pilot-eece3bbbb784.png,firstorder,tiefofighter,Small,431,495,0,0,431,495,0,0,0,0,0,0,False,0,0,213345,dde620ec1a79fcfededed89f743c7d69717da1ec2c3dcc364d360732628b732d,NoTransparency;TouchesLeftEdge;TouchesRightEdge;TouchesTopEdge;TouchesBottomEdge
assets/generated/PilotBaseToken/firstorder/tiefofighter/omegasquadronpilot__pilot-e22e0f82c2a8.png,omegasquadronpilot__pilot-e22e0f82c2a8.png,firstorder,tiefofighter,Small,431,495,0,0,431,495,0,0,0,0,0,0,False,0,0,213345,b7f2db1edb22aa9231a379abac3191e99e07cafc28b0f519d0d0302671035653,NoTransparency;TouchesLeftEdge;TouchesRightEdge;TouchesTopEdge;TouchesBottomEdge
assets/generated/PilotBaseToken/firstorder/tiefofighter/zetaace__pilot-641484ae5c95.png,zetaace__pilot-641484ae5c95.png,firstorder,tiefofighter,Small,431,495,0,0,431,495,0,0,0,0,0,0,False,0,0,213345,6ae1e62c54bfcf2735a69a36fa49c69a2c5503fd674d79514c32351c84c8bf0f,NoTransparency;TouchesLeftEdge;TouchesRightEdge;TouchesTopEdge;TouchesBottomEdge
assets/generated/PilotBaseToken/firstorder/tiefofighter/zetaleader__pilot-d5006b65d981.png,zetaleader__pilot-d5006b65d981.png,firstorder,tiefofighter,Small,431,495,0,0,431,495,0,0,0,0,0,0,False,0,0,213345,ba4d4acae8ed05761e4cc2643c3a69126e9371e160f37090243925a38b592e1d,NoTransparency;TouchesLeftEdge;TouchesRightEdge;TouchesTopEdge;TouchesBottomEdge
assets/generated/PilotBaseToken/firstorder/tiefofighter/zetasquadronpilot__pilot-01cf39abd27a.png,zetasquadronpilot__pilot-01cf39abd27a.png,firstorder,tiefofighter,Small,431,495,0,0,431,495,0,0,0,0,0,0,False,0,0,213345,124c1115891dae7a614f527c5444ade11e1ef825cb57da47f08d899ed6cdbe62,NoTransparency;TouchesLeftEdge;TouchesRightEdge;TouchesTopEdge;TouchesBottomEdge
assets/generated/PilotBaseToken/firstorder/tiesffighter/backdraft__pilot-f5731d9e2983.png,backdraft__pilot-f5731d9e2983.png,firstorder,tiesffighter,Small,431,495,0,0,431,495,0,0,0,0,0,0,False,0,0,213345,501cb24be3a6b0eea48cbcf95f8e1a07197e9f623a2289493bf1d280b51197f3,NoTransparency;TouchesLeftEdge;TouchesRightEdge;TouchesTopEdge;TouchesBottomEdge
