ShipId,TargetId,ShipName,BaseSize,Role,Required,Status,Rank,Score,Confidence,Warehouse,AssetId,RepositoryPath,Reasons
"SHIP-7D46DA71157C","awing","A-wing","small","ShipModel",True,"review",1,100,"high","unified25","AST-03A1CCD02A1E4AA3","assets/source/unified25/assets/ships-v2/small/rz1awing/awing.obj","strong ship alias 'rz1awing' in exact path segment; ships-v2 location; OBJ model"
"SHIP-7D46DA71157C","awing","A-wing","small","ShipModel",True,"review",2,100,"high","unified25","AST-E5EA078DBFBF5528","assets/source/unified25/assets/ships-v2/small/rz1awing/rz1awing.obj","strong ship alias 'rz1awing' in exact path segment; ships-v2 location; OBJ model"
"SHIP-7D46DA71157C","awing","A-wing","small","ShipModel",True,"review",3,100,"high","unified25","AST-C64EE0607E311A1B","assets/source/unified25/assets/ships/Rebel/RZ1AWing/awingOLD.obj","strong ship alias 'rz1awing' in exact path segment; ships location; OBJ model"
"SHIP-7D46DA71157C","awing","A-wing","small","ShipModel",True,"review",4,100,"high","unified25","AST-70AFDF4B8BB27754","assets/source/unified25/assets/ships/Small/REB_awing/awing.obj","strong ship alias 'a-wing' in exact path segment; ships location; OBJ model"
"SHIP-7D46DA71157C","awing","A-wing","small","ShipModel",True,"review",5,100,"high","unified25","AST-516CD47DE2F80C77","assets/source/unified25/assets/ships/Small/REB_awing/Old/awing.obj","strong ship alias 'a-wing' in exact path segment; ships location; OBJ model"
"SHIP-7D46DA71157C","awing","A-wing","small","ShipModel",True,"review",6,71,"medium","unified25","AST-4A83026C1A2B7F32","assets/source/unified25/assets/ships-v2/small/rz2awing/res_awing.obj","strong ship alias 'a-wing' in path; ships-v2 location; OBJ model"
"SHIP-7D46DA71157C","awing","A-wing","small","ShipModel",True,"review",7,69,"medium","unified25","AST-5F12F5A71484DA4A","assets/source/unified25/assets/ships/Small/RIS_awing/res_awing.obj","strong ship alias 'a-wing' in path; ships location; OBJ model"
"SHIP-7D46DA71157C","awing","A-wing","small","ShipTexture",True,"review",1,100,"high","unified25","AST-828E05258D4277A4","assets/source/unified25/assets/ships-v2/small/rz1awing/Textures/arvel.jpg","strong ship alias 'rz1awing' in exact path segment; ships-v2 location; ship texture folder"
"SHIP-7D46DA71157C","awing","A-wing","small","ShipTexture",True,"review",2,100,"high","unified25","AST-C4B52F7C60BFA709","assets/source/unified25/assets/ships-v2/small/rz1awing/Textures/ArvelCrynyd.png","strong ship alias 'rz1awing' in exact path segment; ships-v2 location; ship texture folder"
"SHIP-7D46DA71157C","awing","A-wing","small","ShipTexture",True,"review",3,100,"high","unified25","AST-7ED87CA79DC29E7B","assets/source/unified25/assets/ships-v2/small/rz1awing/Textures/blue.jpg","strong ship alias 'rz1awing' in exact path segment; ships-v2 location; ship texture folder"
"SHIP-7D46DA71157C","awing","A-wing","small","ShipTexture",True,"review",4,100,"high","unified25","AST-B3A67C75522F7174","assets/source/unified25/assets/ships-v2/small/rz1awing/Textures/green.jpg","strong ship alias 'rz1awing' in exact path segment; ships-v2 location; ship texture folder"
"SHIP-7D46DA71157C","awing","A-wing","small","ShipTexture",True,"review",5,100,"high","unified25","AST-EFB4910D3B8DC84C","assets/source/unified25/assets/ships-v2/small/rz1awing/Textures/green2.jpg","strong ship alias 'rz1awing' in exact path segment; ships-v2 location; ship texture folder"
"SHIP-7D46DA71157C","awing","A-wing","small","ShipTexture",True,"review",6,100,"high","unified25","AST-4842727B2A7CA1AF","assets/source/unified25/assets/ships-v2/small/rz1awing/Textures/GreenSquadronPilot.png","strong ship alias 'rz1awing' in exact path segment; ships-v2 location; ship texture folder"
"SHIP-7D46DA71157C","awing","A-wing","small","ShipTexture",True,"review",7,100,"high","unified25","AST-A446362FE50FEE81","assets/source/unified25/assets/ships-v2/small/rz1awing/Textures/hera.jpg","strong ship alias 'rz1awing' in exact path segment; ships-v2 location; ship texture folder"
"SHIP-7D46DA71157C","awing","A-wing","small","ShipTexture",True,"review",8,100,"high","unified25","AST-BD7D4C6837C9686B","assets/source/unified25/assets/ships-v2/small/rz1awing/Textures/HeraSyndulla.png","strong ship alias 'rz1awing' in exact path segment; ships-v2 location; ship texture folder"
"SHIP-7D46DA71157C","awing","A-wing","small","DialTexture",True,"review",1,76,"medium","legacy1e","AST-EF74F3E59CF89B23","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__d2ec94e5b9fbd265.jpg","legacy object context 'A-Wing Dials' via DiffuseURL dial context; First Edition contextual asset preference"
"SHIP-7D46DA71157C","awing","A-wing","small","DialModel",False,"missing",,,,,,,
"SHIP-7D46DA71157C","awing","A-wing","small","ShipScript",False,"missing",,,,,,,
"SHIP-A7919F5F25FD","aggressor","Aggressor","large","ShipModel",True,"clear",1,100,"high","unified25","AST-312C95D86055232C","assets/source/unified25/assets/ships-v2/medium/aggressorassaultfighter/aggressor.obj","strong ship alias 'aggressorassaultfighter' in exact path segment; ships-v2 location; OBJ model"
"SHIP-A7919F5F25FD","aggressor","Aggressor","large","ShipModel",True,"clear",2,85,"high","unified25","AST-D721EC1C4A47B044","assets/source/unified25/assets/ships-v2/small/tieagaggressor/Tie Aggressor.obj","strong ship alias 'aggressor' in path; ships-v2 location; OBJ model"
